Unknown	00:00:55	[Cut or edit in tape. Unknown amount of time elapsed]. 
Al Purdy	00:00:56	When I started to write poems about sixty-eight years ago, Bliss Carman <sup><a href="https://www.wikidata.org/wiki/Q3068116">w</a></sup> was the only one writing. So I imitated Bliss Carman, and this first poem is a sort of imitation of Bliss Carman. [Audience laughter]. And there are hardly any new poems in there because it takes me two years to revise them for two years and then conclude them in a reading, and then besides which as George <sup><a href="https://www.wikidata.org/wiki/Q1239280">w</a></sup> said, I've joined the academics because all the American members of the department at Simon Fraser have guilty consciences so they wanted a Canadian on staff [audience laughter].  "About being a member of our armed forces". This is, this is thirty years after I started to write poems. Remember--Oh, I should say, there are two, three phrases in this that would not ordinarily be understood by you people. "Zombies," who were conscripts in the last war, and well, the CWACs were women members, Canadian Women's Army Corp <sup><a href="https://www.wikidata.org/wiki/Q5030688">w</a></sup>. And during the early part of the last war, there were no rifles. So they used wooden rifles to drill with. 
Al Purdy	00:02:09	Reads "About Being a Member of Our Armed Forces" [from Selected Poems; audience laughter throughout].
Al Purdy	00:03:29	As I said, I've become an academic lately, and one of the students in this class has asked for all my cigar tubes, little metal tubes that, you know, I get cigars in. He wants to put poems in them and float them down the North Saskatchewan River <sup><a href="https://www.wikidata.org/wiki/Q2237">w</a></sup> [audience laughter]. And for some reason or other, this, that became the title of this particular poem. "Floating Down the North Saskatchewan River". [Audience laughter].
Al Purdy	00:04:01	Reads "Floating Down the North Saskatchewan River" [audience laughter throughout].
Al Purdy	00:04:40	Funny, eh? [Audience laughter]. Something called "Jubilate", and I'm going to leave that out of there. "Flight 17 Eastbound". Ah...I keep revising some of these and I'm reading now from manuscript because I revised a lot of the poems here and I can't remember which ones I revised, so if they're in manuscript I'm sure they're either revised or that there's some reason for them being there. 
Al Purdy	00:05:13	Reads "Flight 17 Eastbound".
Al Purdy	00:06:47	I don't know what that means but it must be profound. [Audience laughter]. I'm getting together a collection of love poems, or I have gotten a collection of love poems together. They are, I am told, fairly hard-boiled love poems. Because when Jack McClelland <sup><a href="https://www.wikidata.org/wiki/Q6113965">w</a></sup>, of McClelland and Stewart <sup><a href="https://www.wikidata.org/wiki/Q6800322">w</a></sup>, heard about them they thought it was a good idea that Harold Town <sup><a href="https://www.wikidata.org/wiki/Q827127">w</a></sup> should do some illustrations. But when they saw the poems, and of course it wasn't because they were bad poems, I'm sure, he didn't want to do the illustrations anymore, they said they were hard-boiled. As I said, they can't be bad poems. This was one of them. It's got...no, I don't think I'll read that anyway. I don't like it. However, here's another one along the same lines. [Audience laughter]. It's called "With Words, Words".
Al Purdy	00:07:51	Reads "With Words, Words" [from Love in a burning building].
Al Purdy	00:10:49	I lived in Vancouver <sup><a href="https://www.wikidata.org/wiki/Q24639">w</a></sup> for a while, and up till 1955 or 6. The first play I wrote for CBC <sup><a href="https://www.wikidata.org/wiki/Q461761">w</a></sup> was accepted, and I thought I was a genius, and moved to Montreal  <sup><a href="https://www.wikidata.org/wiki/Q340">w</a></sup> in order to reap the rewards of my genius. For a year in Montreal I think my...I sold a couple of adaptations to CBC. And eventually we moved to Roblin Lake <sup><a href="https://www.wikidata.org/wiki/Q22447801">w</a></sup>, near Ameliasburgh <sup><a href="https://www.wikidata.org/wiki/Q4742321">w</a></sup> in Ontario <sup><a href="https://www.wikidata.org/wiki/Q1904">w</a></sup>, and built a house. And my wife having quit her job, she having decided that if I could get away without working she could too. So we sat down for a couple of years looking at each other, waiting for the other one, to see which one would break first. But this is a poem about that particular time, called "One Rural Winter".
Al Purdy	00:11:50	Reads "One Rural Winter" [from Selected Poems; audience laughter throughout].
Al Purdy	00:15:22	I was in the Arctic <sup><a href="https://www.wikidata.org/wiki/Q25322">w</a></sup> in '65, but this is a poem written long after that about the Arctic. And I suppose...certainly about the Canadian Arctic. I called it "Arctic Romance", but I think it should be just "Arctic", or something like that.
Al Purdy	00:15:46	Reads "Arctic Romance".
