Audience	00:01:48	Applause.
Barbara Howes	00:02:17	Thank you very much, Mr. Hoffman, I'm delighted to be here. If you can't hear me, raise your hands or let me know by some other device. Is this a microphone or does this have to do with this machine? Well I'll try to be clear. I thought rather than read a kind of segmented, like a string of sausages, series of poems, going on and on and on, which gives one very little hope that it'll ever end, it'd be better to say that I'm going to have a beginning, a middle, and an end, and that would be...and so I've arranged the poems in this way, so you will have hope that I won't continue forever, which has been done, in the annals of poetry. I wanted to write, read some poems that have to do with place, because I've thought a lot about the effect of place on poems, and to what extent the place you're in influences what you write. One's imagination would never become extended in certain directions if you hadn't happened to live in a certain place. I was very conscious of that when we lived in Florence <sup><a href="https://www.wikidata.org/wiki/Q2044">w</a></sup> for two years and when my older boy was born, and subsequently for another two years. And I would never--because we--I would never possibly have been able to think, I mean this is obvious in a way, but it gets more complicated, of...Some of the imaginative happenings that occurred would, could never have happened, well in Massachusetts <sup><a href="https://www.wikidata.org/wiki/Q771">w</a></sup> or anywhere else, and also even in, I mean in Vermont <sup><a href="https://www.wikidata.org/wiki/Q16551">w</a></sup>, where we now live, have been profoundly affected by the section of the mountain which we life. And also we spent some time in Haiti <sup><a href="https://www.wikidata.org/wiki/Q790">w</a></sup>, and so on and so forth, so this first group will be mostly poems that have a lot to do with experiences that have happened because of a particular place. The first poem is an Italian poem, or written out of Italy <sup><a href="https://www.wikidata.org/wiki/Q38">w</a></sup>, called "Primavera".
Barbara Howes	00:04:48	Reads "Primavera" [from Light and Dark].
Barbara Howes	00:06:19	This is called "The Triumph of Love".
Barbara Howes	00:06:27	Reads "The Triumph of Love" [from Light and Dark].
Barbara Howes	00:07:18	Then for a summer, we lived in a little town in the south of France <sup><a href="https://www.wikidata.org/wiki/Q142">w</a></sup>, Le Lavandou <sup><a href="https://www.wikidata.org/wiki/Q736462">w</a></sup>, and it was a very good summer all in all, although, except we had no car and a very big house with only about one room on a floor. So the baby was on the top floor, and the kitchen, it's one burner, was on, you know, it's four floors down. And I would rush up and pick him up and then put him back in his bed, and then rush down and light the burner, and then rush up and get him, and then rush down. So it was difficult in some ways. But one of our entertainments, or entertainments that seemed to certainly entertain friends was to go to an island off Toulon <sup><a href="https://www.wikidata.org/wiki/Q44160">w</a></sup> called Ile Levant <sup><a href="https://www.wikidata.org/wiki/Q292516">w</a></sup>, which is half a naval base and half a colony. And you could go out there in a small--it took about an hour in a small boat, and one time we stood on the dock not quite sure what to do next. Another person who'd come in the boat with us in very high heels and an enormous black hat removed everything else and ran up the hill. [Audience laughter]. So this is “L'Ile du Levant, the Nudist Colony”.
Barbara Howes	00:08:55	Reads "L'Ile du Levant: the Nudist Colony" [from Light and Dark].
Barbara Howes	00:10:59	Now living as I do in the country in Vermont, there comes that terrible time in November when all the hunters from the cities come rushing up with their pint bottles and their confusion and they lounge around half the time sitting in cars and shooting vaguely at anything. So I used to try to write an anti-hunter poem every fall,I don't know about this year, I haven't got an idea yet, but I may see if I can do something. "In Autumn". Excuse me. 
Barbara Howes	00:11:37	Reads "In Autumn" [from Light and Dark].
Barbara Howes	00:12:29	And this is another on the same subject.
Barbara Howes	00:12:39	Reads ["Landscape, Deer Season" from Looking Up At Leaves].
Barbara Howes	00:13:16	This is another Pownal <sup><a href="https://www.wikidata.org/wiki/Q1940266">w</a></sup> poem, it's really two things put together. It's called "A Night Picture of Pownal”, for JFK. And I stood one evening in very bright moonlight looking out at the shadow of the apple tree across the road on the snow and it made an impression on me, I began to take notes in the dark as best I could on it. And then later, shortly after that, for the death of Kennedy <sup><a href="https://www.wikidata.org/wiki/Q9696">w</a></sup>, then I saw the poem wasn't, it was inadequate, and I somehow put, wove those two things together.
Barbara Howes	00:14:06	Reads "A Night Picture of Pownal" [from Looking Up At Leaves].
Barbara Howes	00:15:19	Another Vermont poem or Pownal poem on a more cheerful note. "Town Meeting Tuesday". Town meeting is the first Tuesday in March, and many of the people who have stayed in all winter then emerge like woodchucks from their houses.
Barbara Howes	00:15:45	Reads "Town Meeting Tuesday" [from Looking Up At Leaves].
Barbara Howes	00:16:22	Now, we spent two or three Easter vacations in the islands of the Caribbean <sup><a href="https://www.wikidata.org/wiki/Q664609">w</a></sup>, we went to Guadeloupe <sup><a href="https://www.wikidata.org/wiki/Q17012">w</a></sup> once for two weeks. And most of the time I find I write fish poems when I go down to the islands but this one is about a dead toucan in Guadeloupe. There was a little, well, a strange little zoo at the small hotel where we stayed and we would look at these creatures and one day I went and there was the toucan and it had fallen over dead. Somehow, it made an impression on me. "Dead Toucan: Guadeloupe".
Barbara Howes	00:17:04	Reads "Dead Toucan: Guadeloupe" [from Looking Up At Leaves].
Barbara Howes	00:17:55	I hope you can hear--can you hear me? In the back rows? We also spent some time in Haiti, earlier, and I'd like to read a couple of poems from that period. This was a thing--it could perfectly well have happened elsewhere but it was the kind of thing that, after we lived in Haiti for a while, I could see very clearly, would definitely have to happen there. There was a young man of about nineteen, very talented as a painter, and did, had just tried out through the art centre there, and doing really quite good and interesting work. And he needed a job so he could buy paints and paper, and anyway just to exist. So an American woman had two small boys and he said he could look after them and play ball and, you know, keep them out of trouble and so on and so forth. And she said, “Can you swim?” And he said, “Oh yes, of course.” So the boys dove into the pool because they had been swimming, as most American boys do, for years. And he dove into the pool, and didn't come up. And nobody was around except some workers who were fixing the garden. But like everybody, almost, in Haiti, they didn't want to get involved, because then the police might ask them questions, and then at the end there's trouble, so the poor young man just died, because the little boys couldn't do anything, and nobody else did anything. And so that made an impression on me. But it's the kind of unfortunate tragedy, due to his saying that he could swim and he couldn't, just because he was so desperately anxious to get the job, and he just made himself believe he could swim. Just a complete waste. 
Barbara Howes	00:20:10	Reads ["In a Prospect of Flowers" from Light and Dark].
Barbara Howes	00:21:10	"Mirror Image: Port-au-Prince <sup><a href="https://www.wikidata.org/wiki/Q34261">w</a></sup>". This, there was a little sign on a tree we used to pass every day and then I thought of this poem.
Barbara Howes	00:21:19	Reads "Mirror Image: Port-au-Prince" [from Light and Dark].
Barbara Howes	00:21:59	There's one other. Oh yes. 
Barbara Howes	00:22:06	Reads ["On a Bougainvillea Vine at the Summer Palace" from Light and Dark]. 
Barbara Howes	00:23:36	Well, this is one of the fishing poems from the, from Barbados <sup><a href="https://www.wikidata.org/wiki/Q244">w</a></sup>, from the islands.
Barbara Howes	00:23:46	Reads ["Out Fishing" from Looking Up At Leaves].
Barbara Howes	00:24:58	This poem is written in one foot, it's just an experiment to see what would happen. I, you know, diameter's two feet, or is it, trimeter is three feet. And tetrameter is four, and pentameter is five. One foot means you just have one sound, like that, and it's just, was a technical experiment, but I might as well read it. And it's also another fish poem. 
Barbara Howes	00:25:32	Reads ["The Crane Chub--Barbados" from Looking Up At Leaves].
Barbara Howes	00:26:18	Here's a fish, well, a jellyfish poem, from Texas <sup><a href="https://www.wikidata.org/wiki/Q1439">w</a></sup>. 
Barbara Howes	00:26:32	Reads ["On Galveston Beach" from Looking Up At Leaves].
Barbara Howes	00:27:32	And then there's the last Caribbean poem, “A Letter from the Caribbean”. 
Barbara Howes	00:27:45	Reads “A Letter From The Caribbean” [from Looking Up At Leaves].
Barbara Howes	00:28:59	I've thought I would read just a few poems by modern poets that I like, they're not by any means their strongest or anything, but they're just ones I'm attached to. The first I cut out of the paper once, a long time ago. It's by an African schoolgirl, and I think it's very imaginative. It's awkward but it's really quite wonderful.
Barbara Howes	00:29:38	Reads unnamed poem by an unknown author. 
Barbara Howes	00:29:53	This is an early poem of Wystan Auden's <sup><a href="https://www.wikidata.org/wiki/Q178698">w</a></sup> that he kept out of, he didn't use in his book and then he printed again in a recent edition. I think it's technically as awfully, it's light verse but it's also very serious underneath, as good light verse can me. Poem. 
Barbara Howes	00:30:15	Reads ["To You Simply"] by W.H. Auden [published in The Collected Poetry of W.H. Auden].
