00:00	Stanton Hoffman introduces Barbara Howes 	Boston|Bennington College|volumes of poetry: The Undersea Farmer (Banyan Press, 1948)|In the Cold Country (Bonaci & Saul (Grove Press), 1954)|Light and Dark (Wellesley University Press, 1959)|Light and Dark (Knopf, 1966)- nominated for the National Book Award|editor of Caribbean writing (MacMillan, 1966)|Twenty-Three Modern Stories (Vintage, 1963)|won Bess Hawkin Prize of Poetry Magazine (1949)|Guggenheim Fellowship (1955)|Brandeis Poetry Award (1957)|Harper's Bazaar|New World Writing|Poetry|Suani Review|New Republic|reading in NYC Poets for Peace sponsored by the Compassionate Art of the Fellowship of Reconciliation
01:48	Barbara Howes introduces reading, and “Primavera”. 	Mr. Hoffman|microphone|recording ‘machine’|reading order|poetry readings|place poems|influences|imagination|Florence (Italy)|first son|Massachusetts|Vermont|Haiti|mountain|Italian poem
04:48	Reads "Primavera"  	horse|sick|city|Florence|Italy|riding|catacomb|past|history|stone|journey|Giotto|Aphrodite|art|architecture
06:29	Introduces and reads “The Triumph of Love”.  	Italy|city|Venice|art|Veronese|sight|gaze|painting|palace|love
07:18	Introduces “L’Ile du Levant: The Nudist Colony”. 	La Bandue|town in the south of France|summer|car|house|baby|housewife|entertainment|island Toulon|Ile 	le Bon|naval base|colony|small town|dock|nudist colony
08:55	Reads “L’Ile du Levant: the Nudist Colony”. 	place|island|France|plants|cicadas|colony|nudist|vacation|display|clothes|body|skin|dusk
10:59	Introduces “In Autumn”. 	Vermont|November|hunters|cities|pint bottles|anti-hunter poem
11:37	Reads "In Autumn"  	place|Vermont|city|rural|country|hunter|hunting|game|cars|guns|blood|body|red|male|stag
12:29	Reads “Landscape, Deer Season”  	buck|gun|deer|hunting|body|blood|sun|country|place|Vermont|death
13:16	Introduces “A Night Picture of Pownal for JFK”.  	Pownal poem|apple tree|snow|nighttime|death of Kennedy
14:06	Reads “A Night Picture of Pownal, for JFK”. 	place|night|Pownal|Kennedy|history|Matthew Brady|civil war|moon|sound|death|tree|sight|tragedy|stain
15:19	Introduces “Town Meeting, Tuesday”. 	Vermont poem|Parnell Poem|cheerful|town meeting|first Tuesday in March|winter|woodchucks
15:45	Reads "Town Meeting, Tuesday"  	place|Vermont|trees
16:22	Introduces  “Dead Toucan, Guadeloupe”. 	Easter vacations|Caribbean|Guadeloupe|fish poems|islands|zoo|small hotel
17:04	Reads “Dead Toucan, Guadeloupe”. 	place|Guadeloupe|nature|bird|toucan|death|animals
17:55	Introduces “In a Prospect of Flowers”. 	Haiti|young painter|American woman|children|drowning death|Haitian attitudes and politics|tragedy|job
