Audience	00:02:34	Applause.
Charles Reznikoff	00:02:56	Very much obliged to the gentleman who introduced me, among other things, for reading something I did. Perhaps I should ask him to read all that I brought along. But to get down to what I have here, let me say, to begin with, a few days ago, I came across in a bookshop a collection of Chinese verse translated into English. At the beginning was the following, written a thousand years ago, and I was very much impressed with it, and permit me to read it to you as a sort of an introduction. This man who wrote in the 11th century, this Chinese, said this: "Poetry presents the thing in order to convey the feeling.  It should be precise about the thing and reticent about the feeling." I thought that was...expressed exactly what I feel, and what I have tried to do, not always, not always, I'm afraid, as well as called for, but a recipe. Among other things, let me begin by reading a couple of things I did also on the way I think verse should be written. And this is from this, By the Waters of Manhattan. 
Charles Reznikoff	00:04:47	Reads "Salmon and Red Wine" from By the Waters of Manhattan: Selected Verse [also published in Inscriptions: 1944-1956].
Charles Reznikoff	00:05:39	That's the first in this. And the second, I did on the same theme, in a way. 
Charles Reznikoff	00:05:47	Reads "I have neither the time nor the weaving skill, perhaps" from By the Waters of Manhattan: Selected Verse [also published in Inscriptions: 1944-1956].
Charles Reznikoff	00:06:13	Now, let me start with a group which I've written about the city I come from, New York, and its suburbs, and some of its residents, including myself.
Charles Reznikoff	00:06:27	Reads "The winter afternoon darkens" [from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:06:44	And this I call "The Scrubwoman". 
Charles Reznikoff	00:06:48	Reads "The Scrubwoman" [from Rhythms II and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:07:07	Reads "The peddler who goes from shop to shop". 
Charles Reznikoff	00:07:27	And this next. 
Charles Reznikoff	00:07:31	Reads “The elevator man" [from Going To and Fro and Walking Up and Down and from By the Waters of Manhattan: Selected Verse]. 
Charles Reznikoff	00:07:54	Reads "The shopgirls leave their work" [from Five Groups of Verse, Rhythms, and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:08:16	This one I call "Cooper Union Library". I should add, it's no longer that way, this is the way it used to be.
Charles Reznikoff	00:08:23	Reads "Cooper Union Library" [from "Going To and Fro and Walking Up and Down and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:08:42	Reads "Showing a Torn Sleeve" [from By the Waters of Manhattan: Selected Verse and published later in Poems 1918-1936: The Complete Poems of Charles Reznikoff]. 
Charles Reznikoff	00:09:06	Reads "Two girls of twelve or so at a table" [from Inscriptions: 1944-1956 and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:09:54	Reads "I am always surprised to meet" [from Going To and Fro and Walking Up and Down and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:10:23	Reads "Rails in the Subway" [from Jerusalem the Golden and from By the Waters of Manhattan: Selected Verse]. 
Audience	00:10:35	Laughter.
Charles Reznikoff	00:10:41	Reads "This subway station, with its electric lights" [from Going To and Fro and Walking Up and Down and from By the Waters of Manhattan: Selected Verse].
Audience	00:10:58	Laughter.
Charles Reznikoff	00:11:06	Reads "Among the heaps of brick and plaster lies" [from Jerusalem the Golden and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:11:18	Reads "The sky is blue" [from Jerusalem is Golden].
Charles Reznikoff	00:11:42	This I call "Suburban River, Winter".
Charles Reznikoff	00:11:48	Reads "Suburban River, Winter" [from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:12:07	And this too I call "Suburban River," this is "Summer".
Charles Reznikoff	00:12:13	Reads "Suburban River, Summer" [from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:12:38	This I call "Twilight".
Charles Reznikoff	00:12:40	Reads "Twilight" [from By the Waters of Manhattan: Selected Verse and published later in The Poems Of Charles Reznikoff 1918–1975]. 
Charles Reznikoff	00:12:56	Reads "Fraser, I think, tells of a Roman" [from Inscriptions: 1944-1956 and from By the Waters of Manhattan: Selected Verse; audience laughter throughout].
Charles Reznikoff	00:13:21	Reads "The dogs that walk with me” [from Inscriptions: 1944-1956 and from By the Waters of Manhattan: Selected Verse].
Charles Reznikoff	00:13:44	This I call a "Fable".
