Audience	00:02:15 	Applause.
Earle Birney	00:02:26	Thank you very much, George <sup><a href="https://www.wikidata.org/wiki/Q1239280">w</a></sup>. I should, in all fairness to George, say that he actually wrote all this information about me and probably a good number of the poems, which I will be reading under my own name tonight. I would also like to say that I have, was recently corresponding with a man who had just resigned as president of a University to become a Dean of another University and had said, well, at least I will show them that if a Dean is a mouse in training to be a rat, then some rats can revert to being mice. Now, if we apply this to the world of poetry, I would say that I am a mouse in training to be less than a mouse, to be something in another category--I think I'd like to be Bursar of Canadian Poetry. But nobody has really set me up for that. I'm going to start by making sure that I read one good poem tonight by reading a poem of W. B. Yeats <sup><a href="https://www.wikidata.org/wiki/Q40213">w</a></sup> [audience laughter] called "A Prayer for Old Age", which has, I think, I'm afraid, more and more pertinence to my condition. He wrote it at 69. 
Earle Birney	00:04:10	Reads "A Prayer for Old Age"  by W. B. Yeats.
Earle Birney	00:04:54	That I will use as an excuse for some of the poems I now shall read you, if I can find my list. The last thing. Ah yes, here it is. Now there's no mic and I want to make sure that everyone is hearing me. If I'm not talking loud enough, those that cannot hear, would you please put a hand up now. I'm very sorry, I'm very sorry--well, you will have to go to the back and then somebody who's standing can come here. I'm sorry there aren't, that some of you have to stand, and I'll try to make it as fast as possible so we can all get out of here. [Audience laughter]. I'm going to begin with some poems that are, alas, too well known to my fellow poets, most of them in this room, but I had planned it this way and I'm stuck with it now and so are they. I'm going to begin with a series that came out, some members of a series that came out in Ice Cod Bell or Stone, and later others in, Near False Creek Mouth, that have to do with wandering around the global village, and this one begins in, well it since begins in Vancouver, but it's about Honolulu <sup><a href="https://www.wikidata.org/wiki/Q18094">w</a></sup>. I got a fellowship to go to England <sup><a href="https://www.wikidata.org/wiki/Q21">w</a></sup> and I was in Vancouver and I discovered that it only cost me two hundred dollars and some odd cents more to go to London <sup><a href="https://www.wikidata.org/wiki/Q84">w</a></sup> and back to Vancouver by way of going around the world, you know, just heading west. The air tickets were accommodating me that way. So I decided to go west, and my first stop, I noticed, was Honolulu, and I began to get a bit of a temperature about that, and I thought, how 'bout, I might as well live it up, I'm going to Honolulu tomorrow morning, going to be there tomorrow night, and so I will engage a room in Hawaiian Village Hotel for the one night, because first night, I know I have a little money. After that, God knows what's going to happen to me because I intend to stay in a lot of places before I get to London. So I did this, I reserved a room before I left Vancouver, not realizing that this had put me in a bit of a box, because this is one of the Kaiser-Hilton hotels on Waikiki Beach <sup><a href="https://www.wikidata.org/wiki/Q254861">w</a></sup>, and they have a special greeter who meets all the planes, just for people coming to them. And it happened, through another mischance, that I was the only one for that hotel, and this unsettled me so much I had to write about it. [Audience laughter]. Something which I call "Twenty-Third Flight" for reasons, well, the poem is imitative of another poet, much older, much greater, by the name of David. Not the one that I pushed off the cliff [audience laughter], the one who was a harpist.
Earle Birney	00:08:39	Reads "Twenty-Third Flight" [from Selected Poems 1940-1966; audience laughter throughout].
Audience	00:10:58	Applause and laughter.
Earle Birney	00:11:06	Thank you very much, I hesitate to look as if I anticipated more applause, but I would much prefer it if you'd just let me rattle ahead here, for one thing it's getting hotter in here and more and more uncomfortable and as I say, let me get ahead with it, and so if at the end, of course, if anybody is still here with enough energy left, fine. Is there anybody who knows where water is available, any water hole out there in those vast cement deserts?
George Bowering	00:11:50	There should be some beside you, there.
Earle Birney	00:11:52	Uh, well, there's a water pitcher, and a water glass…[audience laughter]. I'll prove it... [audience laughter].
George Bowering	00:12:05	If I drink it, it's okay.
Earle Birney	00:12:06	Yeah! ...Well, while George is away I'll read one of his poems. This one is called "Honolulu" and follows immediately after the other, but in between was about forty, twenty-four hours, I guess, in which I visited the very famous outdoor aviary, one of the world's famous aviaries, and also the aquarium and so on, and I also encountered a type, a Honolulu type of sorts. So this poem, which is perhaps about the involvement of people with animals through self-projection, and the involvement of human animals with each other. 
Earle Birney	00:13:05	Reads "Honolulu" [from Selected Poems 1940-1966].
