Gary Snyder	00:00:00	Everything in this next poem is all true. Almost everything.
Gary Snyder	00:00:17	Reads "The Call of the Wild", Part I [published later in Turtle Island]. 
Gary Snyder	00:00:32	Reads "The Call of the Wild", Part II [published later in Turtle Island]. 
Annotation	00:01:52.06	Reads "The Call of the Wild," Part III [published later in Turtle Island]. 
Gary Snyder	00:04:11	Reads "Source" [published later in Turtle Island]. 
Gary Snyder	00:05:40	In the poem "Charms", which is dedicated to Michael McClure <sup><a href="https://www.wikidata.org/wiki/Q1390054">w</a></sup>, who has more than any other living poet, or person even that I know, has gone farther than anyone else, I think, into becoming one with, in understanding, in penetrating, in perceiving the consciousness of other beings.
Gary Snyder	00:06:15	Reads "Charms" [published later in Turtle Island]. 
Audience	00:07:45	Applause. 
Gary Snyder	00:08:01	I want to read one little poem that kind of, that I just wrote on the plane the other day.  Flying in here yesterday I wrote this. And then we'll take a break. But this belongs, really, with these poems. 
Gary Snyder	00:08:15	Reads "How did a great red-tailed Hawk come to lie on the shoulder of Interstate 5" [published later in Turtle Island]. 
Gary Snyder	00:10:05	Okay, let's take a break.  
Audience	00:10:07	Applause.
Unknown	00:10:17	Ambient Sound [voices].
Audience Member 1	00:10:29	Do you remember getting tiny toys for your children from San Francisco <sup><a href="https://www.wikidata.org/wiki/Q62">w</a></sup>? There was a small book that I saw in the States, folded out in a certain, section-by-section, parts of the earth kinda, growing larger and larger and larger...
Gary Snyder	00:10:46	I haven't seen it.
Audience Member 1	00:10:48	No, I guess...it's sort of, um, anti-war toys.
Gary Snyder	00:10:51	Sounds nice. Yeah. Some place in San Francisco you can get it?
Audience Member 1	00:10:56	Um, I don't know, it was from a certain, a certain group of people, and I don't remember their names. It was beautiful. Nice gift to give little kids.
Gary Snyder	00:11:07	I shall watch for it when I go there again. Thank you. 
Audience Member 1	00:11:13	Okay. You bet. [Inaudible]
Gary Snyder	00:11:14	Okay. [Laughter].
Audience Member 2	00:11:19	Man you're incredible. You're so good. I really dig your stuff.
Gary Snyder	00:11:26	[Laughter]. Thank you.
Audience Member 2	00:11:26	I really dig it, will you come for a drink with me later? With me and my friends?
Gary Snyder	00:11:31	I gotta go some place later.
Audience Member 2	00:11:33	You sure? 
Gary Snyder	00:11:34	Yeah. I mean, like I...they got something set up for me. 
Audience Member 2	00:11:38	I don't, I don't know, I really dig that, I really dig that [inaudible] I just came in, I thought your stuff was so incredible...Your stuff, the way you bring it across to people!
Gary Snyder	00:11:51	Well, that's what I try to do.
Audience Member 2	00:11:54	Have you written a book?
Gary Snyder	00:11:54	I've written a lot of books. [Laughter].
Audience Member 2	00:11:58	No no no, no really, no really, I don't know too much about...Gary Snyder, you know?
Gary Snyder	00:12:04	Well, you'd probably find, I don't know, because I'm coming here, because of my being here now, they've probably got some of my books in the bookstore, if you want to go look. [Laughter].
