George Bowering	00:01:54	Oh I just did a review of Al Purdy's <sup><a href="https://www.wikidata.org/wiki/Q4704621">w</a></sup> new book of poems so maybe I'll just start off reading that. [Audience laughter]. I said I liked it Al. [Audience laughter]. I'm related to practically everybody here. I'll turn this off now. [Audience laughter].
Introducer	00:04:12	...I think that George Bowering  <sup><a href="https://www.wikidata.org/wiki/Q1239280">w</a></sup> has read or done— or not done, or not written. On the back of [that book (?)], it says that he has two new books, one called Curious from Coach House Press <sup><a href="https://www.wikidata.org/wiki/Q5137585">w</a></sup>, and another In the Flesh, coming out with McClelland and Stewart <sup><a href="https://www.wikidata.org/wiki/Q6800322">w</a></sup>. The one thing I can add to that is— has to do with baseball <sup><a href="https://www.wikidata.org/wiki/Q5369">w</a></sup>, about which I know much less than George. You still have your team?
George Bowering	00:04:51	Yes.
Introducer	00:04:54	Okay, it's occurred to me that George understands one thing that is rather important to understand that is that the difference between stepping up to the plate and hitting the ball out of the park, and going [unintelligible], on the one hand, and on the other, stepping up to the plate and being there when the bat does what it's supposed to do and the ball takes itself out of the park. And this applies to baseball, and it also applies to poems. And that's what George understands.
George Bowering	00:05:48	For those that live in California <sup><a href="https://www.wikidata.org/wiki/Q99">w</a></sup>, that's what Suzuki Roshi <sup><a href="https://www.wikidata.org/wiki/Q572599">w</a></sup> calls Zen Baseball. I'm really excited to be back here, this is really a burn for me, because, can you hear me if I talk at this level? I'm hearing an echo, but I— can you hear me? [Audience laughter]. I'm reading for the next three weeks back and forth but this is the first one so I haven't got stale with any of this stuff yet in the east. And I'm going to come back in a few minutes to Autobiology, because I've never read it in the east although I started writing it in Montreal <sup><a href="https://www.wikidata.org/wiki/Q340">w</a></sup> and finished it in Vancouver <sup><a href="https://www.wikidata.org/wiki/Q24639">w</a></sup>, but before I do I'm going to read a piece that is sort of representative of what I've been doing lately in Vancouver, called "Desert Elm", the desert being the Okanagan <sup><a href="https://www.wikidata.org/wiki/Q1812222">w</a></sup> in this instance and the elm being the kind of tree that people planted there that wasn't there before and grew— they tried a lot of other ones and they didn't work. And it's a poem about my father and it deals with— it was begun with his heart attack he had in August and what happened after that, to me.
George Bowering	00:07:22	Reads "Desert Elm".
George Bowering	00:20:04	That's the longest one I'll read I think. I was going to go into Autobiology, but I'm just going to jump right now into one section of Curious, I'm going to read the Jack Spicer <sup><a href="https://www.wikidata.org/wiki/Q3805658">w</a></sup> part for Artie <sup><a href="https://www.wikidata.org/wiki/Q4800979">w</a></sup>, and then I'll [unintelligible] Curious is a-—that's one of the books that's coming out this week, it's about, it's a book about poets, sort of, and this one's about Jack Spicer, who, Artie digs.
George Bowering	00:20:43	Reads "Jack Spicer" from Curious.
George Bowering	00:22:10	He was supposed to be moving— that was in the summer of '65, he was up in Vancouver and just decided to move up there so he wouldn't die, and because he would die if he stayed in San Francisco <sup><a href="https://www.wikidata.org/wiki/Q62">w</a></sup>, and then he said, well just before that I'll go down to the San Francisco Poetry Festival, and when that's over in three weeks I'll come up to Vancouver, and he died during the second week. Okay, this is— Autobiology is a book  that came out, two years ago this month, actually, 72, yeah. And I started writing it in Westmount <sup><a href="https://www.wikidata.org/wiki/Q139497">w</a></sup> as they say and finished it in Kitsilano <sup><a href="https://www.wikidata.org/wiki/Q4179275">w</a></sup>. I started writing it in an expensive flat in Westmount, and finished it in a commune on the edge of the water in Vancouver and it's a story about, as it suggests, it's a story, it's a book, it's poetry, it's prose, it's something about things that have changed me in terms of my head but first in terms of chemicals and physiologically, changed my body literally and so on. So I'll just, I'll read portions of it. I toyed with the idea of reading the whole book, it's the sort of thing we do in Vancouver, like we sit down and read the whole book, and this was published the same day as Stan Persky's <sup><a href="https://www.wikidata.org/wiki/Q2330087">w</a></sup> The Day, a book called The Day, and it's the same length, about a hundred pages, and he read The Day and we took a break, and I read Autobiology and then we took a break of a couple of hours and he read The Day again. But that's sort of— that happens a little— it's a little easier to take when everybody is kind of a volunteer anyway, when everybody in the audience has known all the time that this was being written and that it was going to be read, the whole book. So I'll just read parts of it so you get a taste of it. Each section is about one and a quarter foolscap pages when it's handwritten, long, approximately so it turns out to be about two of these pages. "Chapter One"— there's forty-eight chapters. "Chapter One: The Raspberries".
George Bowering	00:24:41 	Reads "Chapter One: The Raspberries" from Autobiology.
