Unknown	00:00:02	Ambient Sound [music; wood flute].
Jackson Mac Low	00:00:36	Reads "Glass Buildings" accompanied by music. 
Jackson Mac Low	00:01:28	Reads “5.2.3.6.5., the 3rd biblical poem” [accompanied by music and other voices]. 
Jackson Mac Low	00:05:27	From “Judges 6:4 to First Samuel 1:10”, written Saturday, 1st January 1955.
Jackson Mac Low	00:05:40	Reads [“On the Glorious Burning of the Stars and Stripes in the Sheep Meadow in Central Park around about Noon on April 15, 1967 1967 May”].
Jackson Mac Low	00:07:20	Next is a “Word event for George Brecht” on the words 'anti-personnel bombs', this is a kind of poem that can be done on any words. I did it first on these words at a reading in New York <sup><a href="https://www.wikidata.org/wiki/Q60">w</a></sup> where the Russian poet Voznesensky <sup><a href="https://www.wikidata.org/wiki/Q236619">w</a></sup> joined some American poets in an anti-war reading.
Unknown	00:07:42	[Cut or edit made in tape. Unknown amount of time elapsed]. 
Jackson Mac Low	00:07:43	Performs “Word event for George Brecht” accompanied by recording.
Jackson Mac Low	00:21:12	All the people who are going to read the "Number to Symmetries" please come up for the microphone...These were a group of a hundred poems, of the form that has holes in it, that is the format of the poems are used to indicate silences, where there's white space on the page, they're silences. Some of the phonemes on the ends of words are prolonged, and others are stuttered. I'm not sure that any of them that are stuttered are in this particular batch. I wrote about 500 of these in late 1961, early--late, let's see, late ‘60 and early ‘61. I wish you'd say your own names, because I didn't get all your names down in the book, be sure to write your names in my book when you leave. Would the people participating just tell their names to the audience because I don't know all of them?
Audience Participants	00:22:47	Peter Boxer, [unintelligible], Walter Katjetski, Robert Graham, Jenny Burn, [unintelligible], Ivan [Lourd (?)].
Jackson Mac Low	00:22:59	Remember when you get to the end of one, then the next person will take the mic.
Audience Member 1	00:23:03	Do we circulate while we’re off mic?
Jackson Mac Low	00:23:06	Yeah, if you want. Yeah, that would be very nice.
Unknown	00:23:26	Ambient Sound [voices].
Jackson Mac Low	00:23:40	Yeah, just go after...Would you rather have these than the book? Would you rather have papers or the book? Probably easier for you to just put the book down and say “I’m here.”...No, I’m just going to do these. Alright, does anybody have a lot of short ones? I have a few more...So, you prolong those phonemes and [unintelligible] repeated this one...Yeah...Do you need any...Anybody have lots of short ones? Alright. [Unintelligible]. Okay, I would say move a little bit that way. Now those without mics, I think you might be picked up by the mics of those who have them to at least to get on the tape. Okay.
Jackson Mac Low	00:25:23	Performs "Number to Symmetries" accompanied by audience members. 
Jackson Mac Low	00:41:01	In 1960, just before I wrote this group, I wrote a group of poems called the...Stanzas for Iris Lezak, they're--this is the summer of ‘60, they're presently being published this year by the Something Else Press <sup><a href="https://www.wikidata.org/wiki/Q2299703">w</a></sup>, which is nominally in New York and really in Newhall <sup><a href="https://www.wikidata.org/wiki/Q7018086">w</a></sup>, California <sup><a href="https://www.wikidata.org/wiki/Q99">w</a></sup>, at the centre of the earthquake. I'll first read a short group, solo, and then read one in a duet with the--of the earlier performance of it. "Poe and Psychoanalysis".
Jackson Mac Low	00:42:30	Reads "Poe and Psychoanalysis" from Stanzas for Iris Lezak.
Jackson Mac Low	00:42:57	Reads "Marseille" from Stanzas for Iris Lezak.
Jackson Mac Low	00:44:11	Reads "London" from Stanzas for Iris Lezak.
Jackson Mac Low	00:44:48	Reads "Sydney" from Stanzas for Iris Lezak.
Jackson Mac Low	00:44:58	Reads "Berlin" from Stanzas for Iris Lezak.
Jackson Mac Low	00:45:12	Reads "Madrid" from Stanzas for Iris Lezak.
Jackson Mac Low	00:45:21	Reads "Rome" from Stanzas for Iris Lezak.
Unknown	00:45:59	[Cut or edit made in tape. Unknown amount of time elapsed].
Unknown	00:46:00	Ambient sound [music and voices].
Jackson Mac Low	00:47:37	I'll explain a bit, I took these from whatever I was reading from about April to October of 1960, the group of place-name poems were from scatter paper called The National Enquirer <sup><a href="https://www.wikidata.org/wiki/Q1814777">w</a></sup>. This is from the, an article in the Scientific American <sup><a href="https://www.wikidata.org/wiki/Q39379">w</a></sup>...
Unknown	00:48:05	[Cut or edit made in tape. Unknown amount of time elapsed].
Jackson Mac Low	00:48:06	Reads [“Asymmetry from Scientific American” from Stanzas for Iris Lezak]. 
Audience	00:55:20	Applause. 
Jackson Mac Low	00:55:27	This is a, a number of these are collages of various times and places, as well as spontaneity in this room here, on two of these tapes, you will hear a lady's voice along with my own. I did a concert of my works along with Jim Tenney <sup><a href="https://www.wikidata.org/wiki/Q715379">w</a></sup> and Max Neuhaus <sup><a href="https://www.wikidata.org/wiki/Q2182711">w</a></sup>, in town hall, New York in September of 1966, and still earlier Max Neuhaus had realized this particular piece which is a piece produced by subjecting the electric typewriter keyboard to randomization by random numbers, so it looks like a lot of different characters from the electric typewriter, Neuhaus recorded it at the University of Illinois <sup><a href="https://www.wikidata.org/wiki/Q1145814">w</a></sup> laboratory, I guess some time earlier in ‘66 or maybe ‘65 and then put it down four octaves. He and another guy were reading from--the readers read from this in any way they wish, now I'll have the live readers to come up here...So then in... in this ‘66 concert, I did it as a duet, reading through the negatives from which this was printed, the blinking light, and a Jeanne Lee <sup><a href="https://www.wikidata.org/wiki/Q274580">w</a></sup>, a very fine blues singer was in the various works that were performed in that concert, and she's on the duet that you hear, that you will hear. A year ago, or a little more, I guess in April of last year I performed this in a class at NYU <sup><a href="https://www.wikidata.org/wiki/Q49210">w</a></sup> along with the-oh and the Neuhaus tape was along with that performance in NYU, then the town hall performance and the Neuhaus tape--all three were in the NYU performance along with the NYU performance, so now you'll hear it at least four different times, plus the present, something like that.
Jackson Mac Low	00:58:23	Performs unnamed piece accompanied by recording. 
Jackson Mac Low	01:06:11	I'll do a piece called "Fifth Gatha'', which is another group piece, uh, the readers who learned it, please come up with copies, and I'll have to toss around tapes for a few minutes here. I might explain that this particular piece is one of a series I call "Gathas" that are written on graphed paper, they by chance operations. I take the mantra of one religion or another, this happens to be the great prajnaparamita mantra, which is basic to Northern Buddhism and Zen Buddhism, and it's arranged by the method so that it falls over an axis of 'a's, 'u's and 'm's that is the word 'aum', wherever a's, u's and m's appear in the mantra they may cross the mantra, there aren't many u's in this particular one, so there isn't any--nothing crossing the u-line, you may be able to see the empty gap there. The mantra in question is "Gone, gone to the other shore, quite gone over the other shore, boldly, wisdom, spaha, pray. Guthe, guthe, paraguthe [unintelligible]..." you may, those of you who know zen may be more familiar with it in its Japanese version, which is sort of a Japanization of the Sanskrit. The group version of it was done in the Chelsea Hotel <sup><a href="https://www.wikidata.org/wiki/Q240711">w</a></sup>, I think in '67, but the German editor and producer, Carl Weissner <sup><a href="https://www.wikidata.org/wiki/Q1040995">w</a></sup>, the whisper version you hear, I did at home, earlier, maybe in ‘66, ‘65, ‘66. 
Jackson Mac Low	01:09:35	Performs "Fifth Gatha" accompanied by audience members and recording.
