Roy Kiyooka	00:00:00	Good evening. Hello, Mr. Bowering <sup><a href="https://www.wikidata.org/wiki/Q1239280">w</a></sup>. [Audience laughter]. Well, welcome to the sixth reading of our second series of evenings with Canadian and American poets. Tonight we have Joe Rosenblatt <sup><a href="https://www.wikidata.org/wiki/Q1691575">w</a></sup>, Toronto <sup><a href="https://www.wikidata.org/wiki/Q172">w</a></sup>, and John Newlove <sup><a href="https://www.wikidata.org/wiki/Q6250356">w</a></sup>, formerly of Vancouver <sup><a href="https://www.wikidata.org/wiki/Q24639">w</a></sup>, now residing in Nova Scotia <sup><a href="https://www.wikidata.org/wiki/Q1952">w</a></sup>. Joe Rosenblatt will begin the reading, there will be an intermission, and John Newlove will follow. I'm going to quote largely from the copy in Joe Rosenblatt's book, The LSD Leacock, for I hope servient biographical information. It goes like this, he was born in Toronto on December the 26th, nineteen hundred and thirty-three. He says that he has suffocated in Toronto ever since then. He attended the Central Technical School <sup><a href="https://www.wikidata.org/wiki/Q5061898">w</a></sup> and dropped out in Grade 10, he has worked as a grave-digger, plumber's helper, civil servant, railway express misanthrope. He has attended the Provincial Institute of Trades where he acquired a diploma as a welder fitter, his favourite writers are Ambrose Biers, William Blake <sup><a href="https://www.wikidata.org/wiki/Q41513">w</a></sup>, Emily Dickinson <sup><a href="https://www.wikidata.org/wiki/Q4441">w</a></sup>, and A.M. Klein <sup><a href="https://www.wikidata.org/wiki/Q2778027">w</a></sup>, and his favourite dream, is Cyclops turning up at a [nigh-bank (?)]. [Audience laughter]. His previous book of poems, which was probably printed in nineteen hundred and sixty-three, is called Voyage of the Mood. Joe Rosenblatt.
Audience	00:02:27	Applause.
Joe Rosenblatt	00:02:36	Wasn't that [unintelligible]. I'm just going to read, start off with a series of poems I had written about my uncle, who was a fishmonger. He had a habit of phyxiating and murdering fish, and slicing them, and slicing them, and...well, I'll start. This is called "Uncle Nathan: Blessed his memory, speaketh in land-locked green".
Joe Rosenblatt	00:03:11	Reads "Uncle Nathan: Blessed his memory, speaketh in land-locked green" [from Winter of the Luna Moth].
Audience	00:06:10	Applause.
Joe Rosenblatt	00:06:16	"Ichthycide". Another poem about my uncle. It's funny, really. [Audience laughter].
Joe Rosenblatt	00:06:29	Reads "Ichthycide" [from Winter of the Luna Moth].
Audience	00:08:05	Laughter and applause .
Joe Rosenblatt	00:08:13	This is called "A Shell Game". Has to do with my uncle. [Audience laughter]. It's about his funeral.  Joke.
Joe Rosenblatt	00:08:27	Reads "A Shell Game [from Winter of the Luna Moth].
Joe Rosenblatt	00:09:42	I wrote all kinds of poems. I was in Vancouver and I came across the god-awful logic of the zoo. It kinda scared the hell out of me. It was a bat. I've never seen a bat before. Met people who were bats. But this was the real McCoy, it was a fruit bat and it was hanging upside-down, you know, that's the way they live and they fornicate that way too, apparently, upside-down. So I wrote about bats. I have some more fish poems but I get tired of that after a while, you start hating it. And we'll begin with "Bats". While it's true the bat is a mammal, not a bird, there's all types of kinds of mythology based on prejudice about bats and which I've tried to embody in these poems. 
Joe Rosenblatt	00:10:47	Reads "Bats" [from Winter of the Luna Moth].
Joe Rosenblatt	00:11:32	Outside of the bat poem there came a group of sound poetry. Because I tried to get the feeling of the bat in the air, you know the image of the bat and the way it, and the movements of the bat. And this is called "The Fruit Bat". First encounter with a bat.
Joe Rosenblatt	00:11:56	Reads "The Fruit Bat" [from Winter of the Luna Moth].
Joe Rosenblatt	00:13:16	This is better. This is “The Bat Cage”.
Joe Rosenblatt	00:13:19	Reads “The Bat Cage” [from Winter of the Luna Moth]. 
Joe Rosenblatt	00:14:39	Oh we're like bats to people. We used to have, I used to, when I was a kid I went to school and we had a music teacher who was a bit of a nut. She used to rap kids across the knuckles, you know, just to hear them singing. [Audience laughter]. I may have called her Mrs. Love, I can't recall, the trauma was too great. 
Joe Rosenblatt	00:15:02	Reads “The Vampire” [from Winter of the Luna Moth].
Audience	00:15:48	Laughter and applause.
