Unknown	00:00:03	[Cut or edit made in tape, Unknown amount of time elapsed]. 
Introducer	00:00:06	This evening, Joseph Langland <sup><a href="https://www.wikidata.org/wiki/Q6284810">w</a></sup>reads. Mr. Langland was born in Spring Grove <sup><a href="https://www.wikidata.org/wiki/Q203865">w</a></sup>, Minnesota <sup><a href="https://www.wikidata.org/wiki/Q1527">w</a></sup>, and attended the public schools of Minnesota and Iowa <sup><a href="https://www.wikidata.org/wiki/Q1546">w</a></sup>, attended the State University of Iowa <sup><a href="https://www.wikidata.org/wiki/Q182973">w</a></sup>. He has taught at the University of British Columbia <sup><a href="https://www.wikidata.org/wiki/Q391028">w</a></sup>, the University of Washington <sup><a href="https://www.wikidata.org/wiki/Q219563">w</a></sup>, the San Francisco <sup><a href="https://www.wikidata.org/wiki/Q62">w</a></sup> Poetry Center, and so forth. He has been a professor of English at the University of Wyoming <sup><a href="https://www.wikidata.org/wiki/Q1326975">w</a></sup>, and he is presently a professor of English at the University of Massachusetts <sup><a href="https://www.wikidata.org/wiki/Q1061122">w</a></sup>. And he has been associated with the Massachusetts Review as a member of its editorial board. His publications: For Harold, a collection of memorial poems for a younger brother killed in World War II <sup><a href="https://www.wikidata.org/wiki/Q362">w</a></sup> and published in Germany <sup><a href="https://www.wikidata.org/wiki/Q183">w</a></sup> in 1945, The Green Town, which was published in 1956 by Scribner’s <sup><a href="https://www.wikidata.org/wiki/Q845617">w</a></sup> and nominated for the National Book Award <sup><a href="https://www.wikidata.org/wiki/Q572316">w</a></sup> in Poetry in 1957, and The Wheel of Summer published in 1963 by Dial Press <sup><a href="https://www.wikidata.org/wiki/Q5270470">w</a></sup>, and winner of the Melville Kane Poetry Award. He has also published two anthologies, Poet's Choice, co-edited with Paul Engle <sup><a href="https://www.wikidata.org/wiki/Q7150503">w</a></sup>, published in 1952, and The Short Story, published in 1956 and co-edited with James B. Hall <sup><a href="https://www.wikidata.org/wiki/Q95328740">w</a></sup>, published by Macmillan <sup><a href="https://www.wikidata.org/wiki/Q2108217">w</a></sup>. He has forthcoming a volume, a small volume called Adlai Stevenson, which is to be published in Iowa City <sup><a href="https://www.wikidata.org/wiki/Q487977">w</a></sup> by the Stonewall Press, and is, will contain one long memorial poem and two lyrics. And also a larger volume, to appear perhaps next year, called Songs and Half-Songs. His poems have appeared in numerous anthologies, and have appeared in such journals as Poetry Chicago, Hudson Review, Chicago Review <sup><a href="https://www.wikidata.org/wiki/Q5095765">w</a></sup>, Paris Review <sup><a href="https://www.wikidata.org/wiki/Q3988628">w</a></sup>, London Magazine <sup><a href="https://www.wikidata.org/wiki/Q2154323">w</a></sup>, Nation, and so forth. He has written lyrics for songs by Morton Gould <sup><a href="https://www.wikidata.org/wiki/Q1352656">w</a></sup>, Phillip Esantzen, Elliot Schwartz, and also lyrics and music for folk songs. He has been recorded by FolkWays <sup><a href="https://www.wikidata.org/wiki/Q1435522">w</a></sup>, Scholastic Records, reading eight of his poems, and he has held a number of grants. In 1953-54 he was, he held a Ford Faculty Fellowship in the Humanities, in 1955 and 56, an Amy Lowell Traveling Poetry Fellowship, and in 1966, or last year, rather, a National Council of Arts Grant in Poetry, and in this period, he gave a series of readings at universities throughout Europe <sup><a href="https://www.wikidata.org/wiki/Q46">w</a></sup>, in Glasgow <sup><a href="https://www.wikidata.org/wiki/Q4093">w</a></sup>, London <sup><a href="https://www.wikidata.org/wiki/Q84">w</a></sup>, Sussex <sup><a href="https://www.wikidata.org/wiki/Q23346">w</a></sup>, Munich <sup><a href="https://www.wikidata.org/wiki/Q1726">w</a></sup>, Oslo <sup><a href="https://www.wikidata.org/wiki/Q585">w</a></sup>, and University College in Dublin <sup><a href="https://www.wikidata.org/wiki/Q1068258">w</a></sup>. Ladies and gentlemen, Professor Joseph Langland. 
Audience	00:03:03	Applause. 
Joseph Langland	00:03:19	So much of that sounds irrelevant. So I will begin by reading a poem which was really written in answer to a critic. I've written two poems in answers to critics. And this is one of them. I call it "Desperate Equations".
Joseph Langland	00:03:47	Reads "Desperate Equations" [from The Wheel of Summer].
Joseph Langland	00:04:33	Then I would like to go to, from that to a newer poem, one which I call "Natures".
Joseph Langland	00:04:44	Reads "Natures".
Joseph Langland	00:06:54	And I'd like to just simply move from that to a poem which is called, "Dandelion". It's a poem that, well, the daughter of a famous poet likes it very much, and she recently said so, and so consequently I'm very fond of it at the moment. I think this is a kind of procedure among artists. They tend to like very much, at least for a little while, something that someone else likes. It's a poem which I say partially for my wife, it's a poem of affection, but I wouldn't just simply say "for" my wife, it's for all of you, too. "Dandelion".
Joseph Langland	00:07:40	Reads "Dandelion" [published later in Any Body’s Song and collected in Selected Poems].
Joseph Langland	00:09:26	I visited once a grotto in the southern coast of Italy <sup><a href="https://www.wikidata.org/wiki/Q38">w</a></sup>, the Amalfi <sup><a href="https://www.wikidata.org/wiki/Q80563">w</a></sup> grotto, and it's typical of a whole series of such places. It's completely enclosed. You enter it...well actually, I was there a year ago, and it's a little disappointing, because, to sort of accommodate the tourist trade, they've blown out a little section of the wall, and they've hung a flapping canvas cloth over it. But eleven years ago this wasn't so, and you descend in an elevator into this inner room, and it's an absolutely magic place, it's explained to you, for instance, that about sixteen feet under the level of the sea, the Tyrrhenian Sea <sup><a href="https://www.wikidata.org/wiki/Q38882">w</a></sup>, there's a large hole in the cave, and the sunlight, particularly in the morning, you come there about 11 in the morning, it's a good time, the sun filters down these sixteen feet and through this huge hole and then comes up inside the cafe. And the effect of this is absolutely eerie because it's completely enclosed, it's like darkness, but you get in there, and you adjust, and everything is just luminous with light, water, everything. You pick up, and you dip your hands in water and pick them up, you know, drops of water fall from your fingers from the orb-blades that splash, the orb is simply just a whole splash of light that goes up, like that. It's magic, see. And I want to believe in the magic, but in this sense I want to believe in this way in poetry. We shouldn't, I think, just simply deceive ourselves, but....so we can talk about what is, but somehow it's a responsibility to do a little bit more than what is, and so I've written this poem, and of course it's about the Amalfi Grotto, it's about our own behaviour, an attitude toward many things, and it's also, for me, a poem about poetry. "The Amalfi Grotto".
