Lionel Kearns	00:00:00	Reads "The Parable of the Seventh Seal" [published as “The Seventh Seal” in By the Light of the Silvery McLune: Media Parables, Poems, Signs, Gestures and other Assaults of the Interface; reading resumes from previous recording; audience laughter throughout].
bpNichol	00:06:17	Reads "Historical Implications of Turnips" [from Konfessions of an Elizabethan Fan Dancer].
bpNichol	00:07:01	This is called, for a reason I cannot remember at all, "Cycle Number 22".
bpNichol	00:07:13	Reads "Cycle Number 22" [from Konfessions of an Elizabethan Fan Dancer and published later in Selected Writing: As Elected].
bpNichol	00:07:49	This next poem's called "The Child in Me". It's kind of what all sound poetry's about anyways. Enough said.
bpNichol	00:08:09	Reads "The Child in Me" [from Konfessions of an Elizabethan Fan Dancer].
bpNichol	00:09:10	This is a poem called "The New New Captain Poetry Blues" and it's for David McFadden <sup><a href="https://www.wikidata.org/wiki/Q5237344">w</a></sup>. Captain Poetry is kind of this person that happened a long time ago in a magazine I used to edit called Ganglia, and David McFadden is still happening in Hamilton <sup><a href="https://www.wikidata.org/wiki/Q133116">w</a></sup>, and is probably Canada's <sup><a href="https://www.wikidata.org/wiki/Q16">w</a></sup> best poet and what else is there to say? Oh yes, a little footnote, there's a place in here called Plunkett <sup><a href="https://www.wikidata.org/wiki/Q2202272">w</a></sup> which really exists and my mother was born there strangely enough. This is all about that.
bpNichol	00:09:48	Reads [sections of "The New New Captain Poetry Blues: An Undecided Novel" from The Captain Poetry Poems].
Lionel Kearns	00:12:53	This poem is called "Split".
Lionel Kearns	00:12:59	Reads "Split" [published as “Personality” in By the Light of the Silvery McLune: Media Parables, Poems, Signs, Gestures and other Assaults of the Interface].
Audience	00:14:05	Laughter.
Lionel Kearns	00:14:07	People occasionally, when they're put on the spot to ask me questions, say "What's it like to be a poet", or "Is it true that so and so and so and so..." and things like that, questions that are impossible to answer. But there is something about being a poet, and this is one of the things, this is one of the differences, and this poem is called "The Difference".
