Henry Beissel	00:00:00	One moment... problem that we have here at Sir George <sup><a href="https://www.wikidata.org/wiki/Q326342">w</a></sup>. We did try to get a larger hall but it was impossible. To accommodate the overflow, we have set up loudspeakers in the little gallery here, Howard, and in the other one too?
Howard Fink	00:00:21	Outside.
Henry Beissel	00:00:22	Outside, there are loudspeakers. So please don't all crowd into the room. If you are going to lean against the paintings, we shall never be able to get this room again for poetry readings. Because this, this is a gallery which belongs to the Fine Arts department, we had great difficulty getting it, these paintings are very precious, particularly to the artists themselves [audience laughter]. I would ask you please to stay away from the paintings. That must have been the artist [audience laughter]. We are also waiting for the arrival of someone else, so please be patient. Howard--[audience laughter] can you ask the security people to turn on the cooling system, the hall is going to be too hot.
Unknown	00:01:22	Ambient Sound [voices].
Henry Beissel	00:01:25	We may get 927.
Margaret Atwood	00:01:30	What do you mean, we may, I think they're also--okay. What would you like to do? Let us stay here or move?
Audience	00:01:41	Stay here.
Margaret Atwood	00:01:44	Okay, with the people, there are some people who are at the back of the door, there is some space up here at the front if you'd like to come up.
Henry Beissel	00:01:54	No more than ten.
Margaret Atwood	00:01:58	About ten. It'll make more room at the back too...If everybody on the chairs would shift over this way, um, and sit on, sort of as if it were a bench, then some more people can sit on the edges there. Or just move the chairs all that way. Move the rows forward. They're all shifting over anyway. Could you all move your chairs forward to make the rows as close together as possible. Okay, it's alright. 
Unknown	00:03:17	Ambient Sound [voices].
Margaret Atwood	00:04:41	There are these uhh--woohoo--there are these speakers outside and you might be more comfortable if you went out and listened over the speakers, some of the people are really jammed in there. I don't see any reason why this thing should resemble a steam bath, for all of us. If you're--what? what?...I don't think I can, what is it that they do? [Audience laughter].
