Unknown	00:02:59	[Cut or edit made in tape. Unknown amount of time elapsed]. 
Margaret Avison	00:02:59	I don't know about the reading but I do know about the pleasure of meeting Roy <sup><a href="https://www.wikidata.org/wiki/Q3445789">w</a></sup> again here, and being introduced by him. If this were Monday, or up to a week from tonight, I would be able to join the Angry Art Week. I don't know if anybody else has received these letters, but in New York City initially they're trying this and anybody who gets a letter from them is asked to dedicate any reading or event to what they're trying to do. You can still send them money, too, I'll give you the address if you want it later. What they're going to do is play harps in railroad stations and have...lets see, Bach <sup><a href="https://www.wikidata.org/wiki/Q1339">w</a></sup> cantatas in railroad stations, play-ins in various museums and the lobbies of concert halls, recital halls, business buildings--I like that one--dramatic presentations in laundromats and supermarkets, [audience laughter], a paint-in, and fences and billboards throughout Manhattan <sup><a href="https://www.wikidata.org/wiki/Q11299">w</a></sup> with their work showing and so on. This is a series. "What we're trying to do is through art to reach the American people as human beings." So...[audience laughter]. If this were Monday I'd dedicate the reading [audience laughter and applause]...This is all very orderly, although it doesn't look it, and it starts with other people's poems of various kinds. A little section of C. Bukowski <sup><a href="https://www.wikidata.org/wiki/Q76409">w</a></sup>, somebody said that's Charles, an American poet. It's a great long thing that was in a mimeograph magazine, and the description is of a woman with a bicycle and a baby carriage, high-heeled shoes, white socks, and all her belongings, on a hot day in the middle of a road in a city. 
Margaret Avison	00:05:28	Reads unnamed poem by Charles Bukowski.
Margaret Avison	00:06:30.	That's sad, so on the same page I copied one of Al Fowler's, which was in a magazine called Lines, which is the all-time happiest little poem, and I don't know why. I'm going to stop where the lines stop, not where the sense stops, so you can see the shape of it.  There's no capital letters. There's no title.
Margaret Avison	00:07:01	Reads “Are you a root or a tendermint” by Al Fowler [published in Lines 6].
Audience 	00:07:20	Laughter.
Margaret Avison	00:07:30	This is one by Gerry Gilbert <sup><a href="https://www.wikidata.org/wiki/Q5552756">w</a></sup>, called "Zoo".
Margaret Avison	00:07:39	Reads "Zoo" by Gerry Gilbert.
Margaret Avison	00:08:00	I may bring in some more of other people's, but this is just a little, it's a friend of mine in Toronto who's made it to grade seven this year. He calls it "The Delinquent", and he has, in this copy he has said that it's his copyright so if you betray the fact that I read some of it, I'll be in trouble with him.
Margaret Avison	00:08:33	Reads "The Delinquent" by an unnamed author [audience laughter throughout].
Margaret Avison	00:10:20	It goes on, a bit, I want to go back to where it gets sad, though. I love "She twisted her pinkies behind her but all the knots held more".
Margaret Avison	00:10:30	Resumes reading "The Delinquent" [audience laughter throughout].
Margaret Avison	00:11:33	There's an awful line in the next verse. [Audience laughter].
Margaret Avison	00:11:41	Resumes reading "The Delinquent" [audience laughter throughout].
Margaret Avison	00:12:43	It ends up with knotting a burning matchstick into her old man's hair. [Audience laughter]. I think as he goes on he'll be somebody. If I'm not reading mine I'll warn of you. Some of these...the first one is a Toronto poem with footnotes, saying that TTC <sup><a href="https://www.wikidata.org/wiki/Q17978">w</a></sup> means Toronto Transit Commission, and the Ditch is an open cut on the Yonge subway between Bloor and Rosedale. 
Margaret Avison	00:13:38	Reads unnamed poem.
Margaret Avison	00:14:37	The second subway poem...a little child, it's called "Subway Station Why Not."
Margaret Avison	00:14:53	Reads "Subway Station Why Not".
Margaret Avison	00:15:56	This next one is St. Clair Avenue, where I live on the car tracks. It's called "Insomniac Report".
Margaret Avison	00:16:11	Reads "Insomniac Report".
Margaret Avison	00:17:07	Feels as if I should be doing something different, but I don't know what. I did a poem to people writing examinations I'm hunting for, but I think I've forgotten it. There's three about this odd experience of teaching and students. This one was written before I had had the experience, but was looking forward to it. And it had the title "Is That You/Me Standing on My/Your Feet?" And it's very full of fine theory and idealism.
Margaret Avison	00:18:18	Reads "Is That You/Me Standing on My/Your Feet?".
Margaret Avison	00:19:21	And I've got two other incomplete ones that should be read with that. I'll just read two stanzas of the first one, it's got one four-line stanza for the students...
Margaret Avison	00:19:36	Reads unnamed poem.
Margaret Avison	00:20:36	The teacher's answer hasn't got written yet. Here's another bit, two stanzas, the student and the teacher, that isn't finished. The student is talking although it doesn't sound like it. 
Margaret Avison	00:21:01	Reads unnamed poem.
Margaret Avison	00:21:51	There's a daybreak bus I have to catch and this one is called "October 21, '66, at a bus stop on the way".
Margaret Avison	00:22:03	Reads "October 21, '66, at a bus stop on the way".
Margaret Avison	00:23:07	I had planned to get all this organized on the plane, but I was in the middle of the three seats and I kept getting the briefcase out and everything would fall to the floor, and this one would dive for it, or this one, and I finally gave up, so it's upside down. This is dedicated to Jacques Ellul <sup><a href="https://www.wikidata.org/wiki/Q322922">w</a></sup>, The Technological Society <sup><a href="https://www.wikidata.org/wiki/Q1607727">w</a></sup>, a book he wrote that's a little mad but very stirring.
Margaret Avison	00:23:56	Reads [“Making Senses”, published later in No Time]. 
Margaret Avison	00:26:39	There's one here that is just the equivalent to sketching, I guess. I know a poet in Chicago <sup><a href="https://www.wikidata.org/wiki/Q1297">w</a></sup> who used to go and sit around in the Art Institute <sup><a href="https://www.wikidata.org/wiki/Q239303">w</a></sup>, when it was a fairly quiet room, and stare all morning, and if any words occurred to him, he dashed them down. And sometime he worked up his sketches and sometime he didn't, which is a technique that's lots of fun to practice, and occasionally something grows out of it. In this case I don't think I'll ever do anything but it'll show you the kind of thing that I mean, if, as I assume, most of you are writers.
Margaret Avison	00:27:38	Reads unnamed poem. 
Margaret Avison	00:28:25	Now a poem with syntax and stuff called "The Seven Birds". A corner of Bathurst and College Street in Toronto which is the kind of buildings that have been there since the first world war, where there's often stores on the street level and an apartment or two above. 
Margaret Avison	00:29:01	Reads "The Seven Birds" [published later in sunblue].
Margaret Avison	00:30:15	I think I should read a long, fierce poem. This is not by me except translated. It's the poem of Gyula Illyes <sup><a href="https://www.wikidata.org/wiki/Q381107">w</a></sup>, called "Of Tyranny, In One Breath". Ilona Duczynska <sup><a href="https://www.wikidata.org/wiki/Q967353">w</a></sup> did a literal translation for me and then read it to me for sound and we worked through it that way.  Apparently the poem started, or happened, in 1956 in Budapest <sup><a href="https://www.wikidata.org/wiki/Q1781">w</a></sup>. Illyes had written it some years before but hadn't been angry enough at the time to risk what it was to bring it out. But he grew angry enough and somebody said the one thing that nobody censors is the magazine which tells you what lectures are going on where and what movies are running where and is just a news sheet, and the middle spread was for advertising, so they printed this in the middle sheet and it was, they tried to stop it as soon as the authorities found it but by then they were storming the radio station or however it started. I can't do it in one breath because it goes on for several pages. In the first part of it, "it," meaning "tyranny" is small "i" and towards the end it's a capital "I."
Margaret Avison	00:32:27	Reads English translation of "Of Tyranny, In One Breath" by Gyula Illyes [published later in Always Now, Vol. 1].
Margaret Avison	00:39:26	So, after the revolution he was much too well-known to disappear but they said he was insane and he was in an asylum for a while, but he wrote a lot of lovely things there, so I don't think he was, and he's not there now. It's much better, I think. A group of silly things it's embarrassing to read but I will, called "Bestialities".
Margaret Avison	00:40:19	Reads "Bestialities", parts 1-5 [from The Dumbfounding; audience laughter throughout].
Margaret Avison	00:41:14	The last one I think is just beautiful, but nobody gets it unless I explain, so I'll explain, it's like you take a piece of 8 by 11 typing paper...
Audience Member 1	00:41:26	Don't explain, just say it.
Margaret Avison	00:41:28	Alright, you can tell me then, eh? 
Margaret Avison	00:41:33	Reads "Bestialities", part 6 [from The Dumbfounding].
Margaret Avison	00:41:40	Now, come on...[Audience laughter]. Hmm? Does anybody want the explanation? Well I've read it. It's just a crumpled-up letter, you know, you get it and you read it and you cry and you crumble it up and you throw it down and the mite goes up...Now I'll read it again.
Margaret Avison	00:42:17	Reads "Bestialities", part 6 [from The Dumbfounding].
Margaret Avison	00:42:35	“The Absorbed". This is one of the very cold days, I guess about ten below, enough. It's inside the pane of glass separating inside from outside comes into it, a certain kind of sky that goes with that which is like glass again. 
Margaret Avison	00:43:09	Reads "The Absorbed" [from The Dumbfounding].
Margaret Avison	00:45:50	Reads ["Thaw" from Winter Sun].
Margaret Avison	00:47:37	I would like to read two other weather ones and then I'll give you a break. This is “Two Mayday Selves”.
Margaret Avison	00:47:54	Reads "Two Mayday Selves" [from The Dumbfounding].
Margaret Avison	00:49:42	And the last one is late spring, early summer. Jet-plane and terminuses, called "Black-White Under Green, May 18th 1965”.
Margaret Avison	00:50:06	Reads "Black-White Under Green, May 18th 1965” [published as “May 18 1965” in The Dumbfounding].
