Audience	00:00:08	Applause.
Milton Kessler	00:00:13	I'm going to read my most personal poems, and start with the things that mean the most to me. These are poems that will soon be published in a collection that I think it's going to be called The Grand Concourse, that some of you will know is the main street in the Bronx. When I find out what people think of the sight of the Grand Concourse who don't know that it's the main street in the Bronx, you know, they think I'm pretty pompous, but you know it's just another version of something like Flatbush Avenue or something like that. How they got this kind of name for the Bronx, I don't know. This is a poem called, by the way, I don't think I'm going to say too much in between these poems, I'm just going to read them, unless something happens that I will particularly want to say. "Letter".
Milton Kessler	00:01:39	Reads "Letter" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:04:17	This one is called "A Bombadier's Landscape".
Milton Kessler	00:04:28	Reads "A Bombadier's Landscape" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:05:54	This one is titled "Called Home" and it was the title of another collection of poems that I put together. "Called Home", I always liked this title, you know, and sort of found out later on what it meant, I always liked it, I wish I could have other titles that were sort of, that I liked as much.
Milton Kessler	00:06:27	Reads "Called Home" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:07:39	Reads "Something" [published later under a different title in Woodlawn North and Sailing Too Far].
Milton Kessler	00:08:06	Reads "Lost Song" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:09:04	This is a little poem called "Davey" for my son, Davey.
Milton Kessler	00:09:16	Reads "Davey" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:10:14	This is a poem I recently finished, it's called "The Quiet", and it's his reply to me. Because you understand that, all of this weight of seriousness, is supposed to lift the whole scene, which is what it's all about, you know, just lift the whole thing. Not to go down, you know, but to just lift it. So this is his, I never read this one before, but this is his response to me.
Milton Kessler	00:10:52	Reads "The Quiet" [published later in Woodlawn North and Sailing Too Far]. 
Milton Kessler	00:12:08	This one is called "I Am No One Else", which is very important to me, you know, I'm sort of a, I have a kind of involuntary independence and sometimes I would like to try to imitate somebody else's life or lifestyle, or anything but it's just a hopeless case and I can't ever manage it. This is "I Am No One Else".
Milton Kessler	00:12:41	Reads "I Am No One Else" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:14:08	I didn't read that too well, I really like that poem I don't want to mess it up, you know, but it's really very hard to be, to say a very, very tender kind of poem, because I'm not so tender, so I have a lot of trouble to be quiet, you know, because I can scream from here back to Brooklyn <sup><a href="https://www.wikidata.org/wiki/Q18419">w</a></sup> if I wanted to. This is the last of the poems in this particular part of the sequence. It's a little poem called "Surprise", I read it this afternoon. I've had the most amazing response sometimes, at places, when I go very often to the anti-war readings I read these poems, very often this one. And it always sort of surprises me you know, that it's alright. "Surprise". Let me tell you a little about this situation--but if I tell you too much about it then I'll read it, you know, I can talk more and it's a little poem. But it was after a big war-type reading at the Loeb Center in New York, and after that, everyone went out, you know, and roaming around all night, and then about 4 am or something like that I got on the subway and went out to my parents' place in Rockaway <sup><a href="https://www.wikidata.org/wiki/Q62569">w</a></sup>, New York, on the ocean. And when I walked into the place, to their new house, I went to the--I walked in and saw that they were sleeping. And I had such a strong feeling, because when I was a kid, you know, and I used to come in late, either the door was locked, you know, the door was locked or there was this always this--come in after eleven, and you know, you won't get, you know, after eleven the door is locked, climb in through the fire escape or something. But here, you know, it was alright, and there it was and I stood and looked at them sleeping. They're both about 70. And by the way, extraordinarily happy. The poem is called "Surprise".
Milton Kessler	00:16:53	Reads "Surprise" [published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:18:05	Now I have these three poems that I call the “Willow Poems”. One of them isn't finished, because the last two lines of the middle one are just, I got into a kind of pleasure in saying "O", you know, “Oh, Joy, Oh”, and like that and sometimes I just enjoyed it so much I was just kind of, and then it didn't mean anything, it you know, I was just kind of enjoying it, which is great, you know, but it's great to enjoy it and also is maybe good, so you make them together like that, so here are the three "Willow Songs". This one, well here it is, it's perfectly clear.
Milton Kessler	00:18:58	Reads "Willow Songs" [part 1, published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:19:53	It's just like that beautiful girl, and you know, if you teach some place, what do you do? The last thing you do is hang around the school, stay away from it, you know, and so here I stay around the house, and here, I'm around the house during the day, you know, and so is this beautiful fifteen year old girl, and I'm watching her walk back and forth, you know, of course this is a song of innocence, you understand, this what she's got to worry about is me. Well I won't read the second one because the end of it isn't any good. But here is a little lyric, it's one of the Willow poems. I've written, it seems to me, an unusual number of poems that have something to do with my family. And whenever there's ever any suggestion of that kind coming from the world of important poetry, I really feel like just smashing somebody's head right in, nothing bothers me more than that, you know. The implication that something is important to you really isn't important, you know, just do what you please, that's all. But nevertheless, I do notice that there's a certain--sometimes I write a lot of these things. Here's a lyric. This is the last of them. It's a little poem.
Milton Kessler	00:21:38	Reads "Willow Songs" [part 3, published later in Woodlawn North and Sailing Too Far].
Milton Kessler	00:22:26	Now this is a little different kind of series here. And this one is called, the first of these is called "Summer's End". This is a long poem that I wrote at a time, it's only some times that it's of any interest what these things develop out of, you know, but this one I think is kind of interesting. I had this very bad, I pulled a muscle in my calf, climbing a mountain, actually, in New Hampshire <sup><a href="https://www.wikidata.org/wiki/Q759">w</a></sup>, where the mountains aren't too high, you know. And I was in a barn, I was at the MacDowell Colony <sup><a href="https://www.wikidata.org/wiki/Q3273867">w</a></sup>, and I was in a barn, and I couldn't get out, I couldn't move any place, I had one big jar, you know, next to the floor, sort of thing, and I just stayed there, and they would come around and bring me some food, finally about a week later I couldn't do anything and somebody--Hortense Calisher <sup><a href="https://www.wikidata.org/wiki/Q436082">w</a></sup>--I don't know if you know who she is, just finally came along and took my car, drove me to the airport, and that was that, kept the car. But while I was lying there, I said there's no big deal about it, but I have had asthma since I was seven, and the one thing about that, you know a little bit like Proust <sup><a href="https://www.wikidata.org/wiki/Q7199">w</a></sup>, if you just lie around, you just lie there and then you sort of, alright, so here you are. So you just do something I guess, so this poem, "Summer's End", there are a lot of things you do with these things lying around. I'll tell you--"Summer's End" alright, "Summer's End".
