Audience	00:00:40	Applause. 
Muriel Rukeyser	00:00:49	Thank you. It sounds peculiar when it's said that way, you know. It just means that I've been writing poems all along, and that sometimes there's been some prose or something film, prose, whatever it is, that spills into the poems that feeds into the poems. And they lie all the time about the poems to us, you know, about all of our poems they say it's something very odd and rare, that people who do it are very odd, if a man does it, he's sexually questionable, if a woman does it she's sexually questionable, besides, very few people do it [audience laughter]. And it's all lies, you know. There's a company in the United States <sup><a href="https://www.wikidata.org/wiki/Q30">w</a></sup> that's made a fortune, on the premise that everybody takes a snapshot at some time or other, and I would like to ask you, and this is apart from all critical standards, all criteria, all faculty and institutions, apart from any of that. I would like to ask a question, how many of you here has ever written a poem, would you put up your hands please? [Audience laughter]. Thank you. I'm always nervous before I ask the question, I ask the question now in all rooms, no matter how few or many people there are and if the universities would generally look around to see if the basketball team is there, but there's always the moment of silence, and looking around first, and generally, quite slowly, almost all the hands go up, maybe four or five do not put up their hands and if I wait around afterwards, and with any luck and favorable wins, the four or five people come up to me and will say something like, I was 15, it was a love poem, it stank. [Audience laughter]. But the thing is it's a human activity. We all do it. We lie about it, you know, and they lie about it to us. And thanks now to the young, the poets maybe, a few other people one could name together, maybe we don't lie so much as we used to, maybe we don't lie about this anymore. Maybe we don't lie about sex, maybe we don't lie about poetry, they seem to lie a great deal about politics instead, it seems to shift around. There are these, and the fact is, we all write poems, it is something we do, we come to this part of experience, as you get a very rainy, rainy evening, why do people come and listen to poems? Or you've got some marvelous summer night, why do people come and listen to poems? Alright, it's partly out of curiosity and looking at the person and I go to see what is that breathing behind, what is that heartbeat, the breathing goes against the heartbeat and these rhythms are set up, and the involuntary muscles and you see the person do it but beyond that, something is what we call shared, something is arrived at, we come to something with almost unmediated, that is the poem among us, between us, there, we're reaching each other, you giving me whatever silence you are giving me and it comes to me with great strength, your silence. Somebody said prima donna, you know, or I'm going to give this to the audience and the conductor says that's what you think, you're going to get it from the audience. That's where it comes from in a funny way. So this mediation, it is not a description, it is not only the music and it, although certainly the reinforcement of sound. The sound climbing up and finally reaching a place, the last word, the sound that begins with the first breathing, the breath of the title. Keats <sup><a href="https://www.wikidata.org/wiki/Q82083">w</a></sup> doing Ode to a Nightingale <sup><a href="https://www.wikidata.org/wiki/Q3349126">w</a></sup>, we hardly ever say ode, nobody says nightingale, but Keats having said that, never has to say it again, it's a bird. You find it in these things, but from the beginning, from the first moment, that is the first breath, the thing that is made as, suggestion, breath, what my life has been, whatever that--what your lives have been. This is a very short one called "Song".
Muriel Rukeyser	00:06:50	Reads "Song" [from Waterlily Fire and collected later in Collected Poems].
Muriel Rukeyser	00:07:36	This is another very short one, I wanted to start with these and see what happened. I called it "In Our Time", it's very--it's four lines.
Muriel Rukeyser	00:07:50	Reads "In Our Time" [from The Speed of Darkness].
Muriel Rukeyser	00:08:12	This is called "The Poem As Mask". It's for another poem, a big Orpheus <sup><a href="https://www.wikidata.org/wiki/Q174353">w</a></sup> poem that I wrote a long time ago and it had the acting out the women on the mountain after the murder, the pieces of the man scattered about the top of the mountain. The slow coming together of the pieces as God. And I realized, long after, when I came to this newest book, Speed of Darkness, that this was a mask that I did not want anymore of this. You know how it is--it happens to undergraduates, say, it happens to the thing that was just before, and you see these girls acting very childish, and trading on it, and thinking they're still thirteen and able to influence their father, and it's been used up, used up, it served its purpose back there, but it isn't that anymore. And these, phases of being, "The Poem As Mask" for Orpheus.
Muriel Rukeyser	00:09:25	Reads "The Poem As Mask" [from The Speed of Darkness].
Muriel Rukeyser	00:10:42	Reads "Air" [from The Speed of Darkness].
Muriel Rukeyser	00:11:43	Reads "Poem" [from The Speed of Darkness].
Muriel Rukeyser	00:13:57	Reads "Anemone" [from The Speed of Darkness].
Muriel Rukeyser	00:14:46	Reads "For My Son" [from The Speed of Darkness].
Muriel Rukeyser	00:17:15	Reads "Orgy" [from The Speed of Darkness].
Muriel Rukeyser	00:19:14	This is called "Bunk Johnson Blowing", if you know the early jazz men, the New Orleans <sup><a href="https://www.wikidata.org/wiki/Q34404">w</a></sup> jazz men, you'll know Bunk Johnson <sup><a href="https://www.wikidata.org/wiki/Q487021">w</a></sup> and his trumpet. This is years later in San Francisco <sup><a href="https://www.wikidata.org/wiki/Q62">w</a></sup>. "Bunk Johnson Blowing" and the dedication is in memory of Lead Belly <sup><a href="https://www.wikidata.org/wiki/Q314310">w</a></sup>, and his house on 59th Street, that's New York.
Muriel Rukeyser	00:19:45	Reads "Bunk Johnson Blowing" [from The Speed of Darkness].
Muriel Rukeyser	00:21:19	Reads "Endless" [from The Speed of Darkness].
Muriel Rukeyser	00:22:53	This last one of the first group is called "Clues", it's a Canadian, British Columbia <sup><a href="https://www.wikidata.org/wiki/Q1974">w</a></sup> poem, is--how it is among the Thompson River <sup><a href="https://www.wikidata.org/wiki/Q2143805">w</a></sup> Indians, or how it was in the anthropological moment, that flash of moment before it was broken up by this civilization, and we have caught up to some of this, without know what the hell it was, what this is. We are full of body painting, tattooing, emblems painted on ourselves, this is further. "Clues".
Muriel Rukeyser	00:23:56	Reads "Clues" [from The Speed of Darkness].
Muriel Rukeyser	00:25:55	Here's one piece of a long poem, it's the last of a group called "Elegies", which one hardly dares name anything anymore. It's called "Elegy in Joy" and this is just a beginning piece, I wanted to do it tonight this way, I've never cut it up.
 Muriel Rukeyser	00:26:17	Reads "Elegy in Joy" [from Elegies and collected later in Collected Poems].
