Roy Kiyooka	00:00:00	Second half of our program...on the second half of our program we will have Gwendolyn MacEwen reading for us. I have notes in my hand concerning her, but on the back of this album, here, a CBC <sup><a href="https://www.wikidata.org/wiki/Q461761">w</a></sup> publications release of...is it eight Canadian poets? One, two, three, four… [Audience laughter]. Yes, eight Canadian poets, this album is about to be released very shortly. There's a much more comprehensive biography of her, so I shall read this as an introduction to her. Born in Toronto <sup><a href="https://www.wikidata.org/wiki/Q172">w</a></sup> in 1941, began publishing poetry in the Canadian Forum <sup><a href="https://www.wikidata.org/wiki/Q5030045">w</a></sup> at age fifteen. She left school at eighteen, a high school dropout, as the sociologists would say [audience applause and laughter] to devote herself to writing. She has published three books of poetry, The Drunken Clock, The Rising Fire, and most recently, A Breakfast for Barbarians. She has also published a novel called Julian the Magician. In 1965, she was awarded the prize for poetry in the CBC's new writing contest. With the aid of a Canada Council <sup><a href="https://www.wikidata.org/wiki/Q2993809">w</a></sup> grant, she is currently at work on a novel on the, how do you pronounce the guy's name? [whispers off-mic to MacEwen]...Pharaoh Akhenaten <sup><a href="https://www.wikidata.org/wiki/Q81794">w</a></sup> [laughter] of the eighteenth dynasty in Egypt <sup><a href="https://www.wikidata.org/wiki/Q79">w</a></sup>. Ladies and gentlemen, Gwendolyn MacEwen.
Unknown	00:01:47	[Cut or edit in tape. Unknown amount of time elapsed].
Gwendolyn MacEwen	00:01:47	So listen, I had a great idea that if our voices gave out we were just going to open up the record and bring a recorder up on a stage and place the needle in the proper groove, and then just let the record speak for itself. However, I guess the voice is intact. I'm reading first from my latest work, poems from the last year. The first is called "The Zoo".
Gwendolyn MacEwen	00:02:22	Reads "The Zoo".
Gwendolyn MacEwen	00:03:38	Not feeling that I'd sufficiently exploited beasts and things, I wrote another called "The Taming of the Dragon".
Gwendolyn MacEwen	00:03:49	Reads "The Taming of the Dragon".
Gwendolyn MacEwen	00:04:57	Still not having exploited the animal kingdom, I wrote a poem which, well, is not connected with the animal kingdom at all, really. It's called "The Horse-head Nebula".
Gwendolyn MacEwen	00:05:12	Reads "The Horse-head Nebula".
Gwendolyn MacEwen	00:06:19.86	Reads "Wheels".
Gwendolyn MacEwen	00:07:18	This is a poem which, oddly enough, came out in a Mexican magazine in Spanish not too long ago, looking completely unrecognizable to me. It's called "I Should Have Predicted".
Gwendolyn MacEwen	00:07:38	Reads "I Should Have Predicted" [published later in The Shadow-Maker].
Gwendolyn MacEwen	00:08:47	Some people have asked me if that poem was about Toronto, and I'm at a loss to answer, not having seen horses, riders, chariots, or anything remotely similar in Toronto. Plus the fact, I'm sure many people have predicted the death of Toronto, as far as that goes. I recall Phyllis reading a poem on perhaps an evolutionary theme, and I have one here called "The Heel".
Gwendolyn MacEwen	00:09:32	Reads "The Heel" [published later in The Shadow-Maker].
Gwendolyn MacEwen	00:11:16	Now, I think I can safely move into Breakfast for Barbarians. It needs a little preparation, a little cushioning, perhaps. This is a poem called "The Garden of Square Roots: An Autobiography".
Gwendolyn MacEwen	00:12:01	Reads "The Garden of Square Roots: An Autobiography" from A Breakfast for Barbarians.
Gwendolyn MacEwen	00:13:33	I think all poets should have some suffering poems, poems of great anguish. So feeling I was somewhat deficient in this area [audience laughter], I made use of a very opportune situation, recovering from an appendectomy in hospital. [Audience laughter]. Deciding that surely this was my moment, if I was ever going to write a painful poem it must be now. [Audience laughter]. So this is "Appendectomy".
Gwendolyn MacEwen	00:14:20	Reads "Appendectomy".
Unknown	00:14:22	[High-pitched sound. Possible damage to recording].
Unknown	00:14:57	[High-pitched sound. Possible damage to recording].
Gwendolyn MacEwen	00:15:20	Although I can't say that I'm convinced that that suffering was valid, either. But. The next poem is called "The Self Assumes", and I rarely talk about how a poem gets written because it seems mostly irrelevant, but I would remark that the last line of this poem was one of those very strange, surprising things that comes to one almost instantaneously, and one plucks it out of the air. I was very delighted with it. "The Self Assumes".
Gwendolyn MacEwen	00:16:08	Reads "The Self Assumes".
Gwendolyn MacEwen	00:18:01	The next poem is one of a group of poems toward the end of this book where the, I think the tone or the voice takes a somewhat radical departure from the poems in the rest of the book. It's called "The Caravan".
Gwendolyn MacEwen	00:18:23	Reads "The Caravan" from A Breakfast for Barbarians. 
Gwendolyn MacEwen	00:20:29	I'm trying to locate a poem in this book which I realized doesn't exist. It's somewhere else altogether. I'd like to end this reading with a trilogy of poems. Which are also toward the end of Breakfast for Barbarians. Poems which, for me, represent a stage in my own growth as a poet. They are called the Arcanum poems, I believe they're on the record which Roy Kiyooka <sup><a href="https://www.wikidata.org/wiki/Q3445789">w</a></sup> was showing you. 
Gwendolyn MacEwen	00:21:15	Reads "Arcanum One" from A Breakfast for Barbarians.
Gwendolyn MacEwen	00:22:35	Before I go into "Arcanum Two", in case anyone is mystified with beetles and suns and various creatures like that, let me say that the book is, the poem, rather, is of an Egyptian theme. A royal house. And the events taking place within it. So we move on: "Arcanum Two".
Gwendolyn MacEwen	00:23:05	Reads "Arcanum Two" from A Breakfast for Barbarians.
Gwendolyn MacEwen	00:24:33	And finally, "Arcanum Three".
Gwendolyn MacEwen	00:24:39	Reads "Arcanum Three" from A Breakfast for Barbarians.
Gwendolyn MacEwen	00:25:31	Thank you very much. 
Unknown	00:25:34	[Cut or edit in tape. Unknown amount of time elapsed]. 
Roy Kiyooka	00:25:34	...everybody here, I want to thank Gwendolyn MacEwen. Our night three is on December the second. Thank you very much. 
