Audience	00:01:43	Applause [cut off].
Robert Creeley	00:01:48	Let me. "On Vacation".
Robert Creeley	00:02:35	Reads "On Vacation".
Robert Creeley	00:02:55	I'll read one more poem, I made it up all by myself, that's the only thing... "Do You Think".
Robert Creeley	00:03:03	Reads "Do You Think..." [published later in A Day Book].
Robert Creeley	00:04:51	It's like a Latter Day <sup><a href="https://www.wikidata.org/wiki/Q42504">w</a></sup>quote, no it's like a--I've got a noun [unintelligible].
Audience 	00:05:01	Laughter. 
Robert Creeley	00:05:03	This has nothing in the glasses, nothing in the glass, that's the problem. I want to read, frankly an old and dear friend Robin Blaser <sup><a href="https://www.wikidata.org/wiki/Q2115003">w</a></sup>, an old and dear friend, a man I much respect and care for just happens to be in the room, I haven't seen him since, like, almost, it feels like 20 minutes ago. But I want therefore to read a few poems that are more recent in composition. "The Act of Love".
Robert Creeley	00:05:50	Reads "The Act of Love".
Robert Creeley	00:07:55	Then I'd like to read another poem because frankly Robin is a very particular friend, and not will know simply the information I'm trying to get clear, but will know the, you know, you like to read for people, shit, you know. "The Birds".
Robert Creeley	00:08:19	Reads "The Birds".
Robert Creeley	00:09:58	Then that--"things seem empty on vacation, if the labors have not been physical, then, some awful grating sound as if some monstrous nose were being blown..." [begins to read “On Vacation”]--no I've read that once, I won't read it again. But I wanted to read the most recent--I used to have, not an ambition, but I had a lovely sense of Allen Ginsberg's <sup><a href="https://www.wikidata.org/wiki/Q6711">w</a></sup> freedom in writing, happily, he's been here not too long ago. And I mean, Allen is a true contemporary, simply that we were born within say, what he's born--his birthday is June 3rd and mine's May 23rd of 1926 and we're, you know, we're very close in time and space. I used to have a sense of not Allen's permission in writing, I mean that permission doesn't exist. I mean, you write what you are given thus to write, nobody designs this occasion, nobody has the authority of it, and I did in a weird way, I envied Allen's ability to be where that situation might occur, you know. Like he could really write any moment, any place, anywhere, and so recently flying. In fact, last week, flying out to Los Angeles, not to Los Angeles, to San Francisco, I'd been awfully harassed in particular dilemmas of responsibility and suddenly sitting on the plane. There was this delicious space, you know, made peace with the plane by drinking everything they would give you instantly and having entered with some. I remember watching Warren, an old, dear friend get on a plane with like, four double vodkas. You know, I said "Warren, you're going to get drunk". He said, “No I'm flying back to Vancouver”. Like you mistaked the occasion, you know. And so, I get on the plane, and I thought, “well I can do this too”. And I wrote, my Bobbie who is a friend indeed of Robin's and myself. I'm literally her husband and Robin is a friend in that, what am I? I'm not going to propose that we're--no, but I think it's true. It has nothing to do with fucking. It has to do with the ambiance and reality of another human being. I think we share that reality in her. And she had gotten ill, unhappily and in some unexpected manner and then happily is now okay, but it was a crazy moment of dilemma. "An Illness".
Robert Creeley	00:12:52	Reads "An Illness". 
Robert Creeley	00:15:55	And I'm going to read a few more for Robin, and then, "The Problem".
Robert Creeley	00:16:06	Reads "The Problem".
Robert Creeley	00:16:44	Reads "The Tiger".
Robert Creeley	00:17:09	What is reality--this is crossed out--[Reads excerpted material from “The Tiger”]. “What is reality we thought, who is here, we could smell the freshness of the jungle growth and would have been eaten by the tiger were it hungry” [audience laughter]. It's all crossed out. I'll read, this is--
Robert Creeley	00:17:38	Reads unnamed poem.
Robert Creeley	00:18:33	"Not Being Dumb"--this is, these are three things together.
Robert Creeley	00:18:36	Reads "Not Being Dumb”.
Robert Creeley	00:19:38	Reads ["Harry"].
Robert Creeley	00:19:46	Let me just, may I just read around, because these are, like, poems of like the last few months. This was a poem that is variously titled "Sweet Dreams, Good Harbor Beach". This is a place in Gloucester <sup><a href="https://www.wikidata.org/wiki/Q49156">w</a></sup>. It therefore has a physical location.
Robert Creeley	00:20:04	Reads "Sweet Dreams, Good Harbor Beach".
