Audience	00:03:42	Applause.
Robert Creeley	00:03:52	See now, it's extremely generous, Irving <sup><a href="https://www.wikidata.org/wiki/Q1673289">w</a></sup>, all that. No, because we have had a very long association. I think I'd like to say my piece too, apropos that fact that I think that the kind of community that say either Irving or myself in this way were involved with was what kinds of, no really, how could you find the world?  I mean, I, for example first read his poems in the collection called Cerberus with Louis Dudek <sup><a href="https://www.wikidata.org/wiki/Q3261787">w</a></sup> and Raymond Souster <sup><a href="https://www.wikidata.org/wiki/Q304129">w</a></sup> and then I was very interested in the magazine that they had going called Contact, I was looking for connections I suppose, the man, in no hips sense, but we were, I was extraordinar--I wanted to know where the world was, and Irving seemed to be very much, very much part of any world I certainly could respect. And so, what he generously and definitely himself ignores was that he was that he was a very decisive contributing editor for the Black Mountain Review, and it was really, a very decisive friend all those fifteen years he imagines. Let me read now. Let me start from back then, "A Song".
Robert Creeley	00:05:47	Reads "A Song" [from For Love].
Robert Creeley	00:06:37	This is apropos. "The Conspiracy".
Robert Creeley	00:06:43	Reads "The Conspiracy" [from For Love].
Audience	00:07:11	Laughter.
Robert Creeley	00:07:12	That was no joke. "Chanson".
Robert Creeley	00:07:26	Reads "Chanson" [from For Love].
Robert Creeley	00:08:00	"The Operation".
Robert Creeley	00:08:05	Reads "The Operation" [from For Love].
Robert Creeley	00:08:35	"The Death of Venus".
Robert Creeley	00:08:41	Reads "The Death of Venus" [from For Love].
Robert Creeley	00:09:17	I was thinking Paul Blackburn <sup><a href="https://www.wikidata.org/wiki/Q7149388">w</a></sup> happily has been here, so this is a poem, again of the same, the same situation that we were very active in the exchange of, I mean, again I want to emphasize  the sense that we were looking around to see what kinds of possibility that we could find in the world and I suppose if we shared anything, I was thinking of Irving's lovely stories and letters about the problems of visiting literary parties [laughs] and partly being forbidden because he made such awkward problems for guests and hosts, etc. So that Paul Blackburn at this point was translating from Provencal poetry, he'd been at the University of Wisconsin <sup><a href="https://www.wikidata.org/wiki/Q838330">w</a></sup> and had had a very active and useful relation with the woman there, I think it was, teaching Provencal, so that he'd also been very involved with Pound <sup><a href="https://www.wikidata.org/wiki/Q163366?wprov=srpw1_0">w</a></sup>, with Pound's senses of activity in verse and had therefore become particularly interested in Provencal and had begun to translate, and through the same agency that we had in Mallorca <sup><a href="https://www.wikidata.org/wiki/Q8828">w</a></sup>, my wife and I then, the so called Divers Press that had published Irving's book, we published a collection of Paul's Provencal translations called Proensa. So the title, is actually Paul's title, I can't now remember what- I don't think he ever published the poem it was the title for, but I was struck by it, and you know, you take things, obviously from friends, it was that you were stealing, but that it was always a common situation. It's a form of adaptation, and I think a young friend now at Buffalo <sup><a href="https://www.wikidata.org/wiki/Q681025">w</a></sup> were presently working was telling me that I am in the courtly tradition which is confusing to me, but I can see what he means simply that did pick up a lot through Paul Blackburn and writers in this way using a vocabulary or sense of possibility involved with that kind of writing. So this poem, for example, would be, would be actually a, would be a poem not written by Paul Blackburn, but a poem much informed by his way of perceiving. "A Form of Adaptation".
Robert Creeley	00:11:46	Reads "A Form of Adaptation" [from For Love].
Robert Creeley	00:12:40	“The Whip”.
Robert Creeley	00:12:43	Reads "The Whip" [from For Love].
